wallet_provider,wallet_id,balance,monthly_transactions,average_transaction,top_up_frequency,duitnow_qr_usage,user_id
GrabPay,697e33c9-0b00-456a-be05-6a3f17e96a1a,459.6,25,29.77,2,6,abacd1bb-982a-48af-8e5b-248048dc3711
MAE,5f5109c2-14ff-43d5-970c-1cb2c55e7c01,56.7,12,24.35,4,15,abacd1bb-982a-48af-8e5b-248048dc3711
GoPayz,c19a8c49-821d-4af9-b2ad-753b8eaf0fd3,402.01,5,83.76,8,5,abacd1bb-982a-48af-8e5b-248048dc3711
Boost,d4a2ad9e-9e53-4cc9-855f-e72cdb557708,71.4,28,59.33,4,6,abacd1bb-982a-48af-8e5b-248048dc3711
Touch n Go eWallet,eaea25da-1d85-4f38-97f0-7a154126a99c,98.51,29,58.65,7,9,6e59eef3-2f8b-412c-81c6-a7e70b359143
GoPayz,b17739b7-7afb-4118-b50d-7aad567c75c8,407.78,25,75.99,8,3,6e59eef3-2f8b-412c-81c6-a7e70b359143
GrabPay,0659a794-0814-4562-aa8c-a206de895c2f,332.39,22,52.48,2,3,48a70efb-afc7-4550-a788-ad8aced83874
MAE,447aed8b-4a84-4d81-9f4f-5fee2d8805c1,441.44,28,47.27,2,15,48a70efb-afc7-4550-a788-ad8aced83874
GoPayz,42d46725-a0c0-45cd-8696-f9949041f106,303.22,19,49.7,6,9,5689cfd3-ec6a-42db-bfab-9ea119d6fab4
GrabPay,ffd2ce39-8926-451a-a08c-cd5878dbbb77,436.84,22,79.97,3,7,5689cfd3-ec6a-42db-bfab-9ea119d6fab4
MAE,74d09118-5746-411a-ae49-efc709094c95,64.11,20,27.04,6,6,5689cfd3-ec6a-42db-bfab-9ea119d6fab4
Touch n Go eWallet,8290613c-cd45-4127-98e1-4721ec688f98,475.47,20,48.03,7,10,4c6657b7-4bd7-4e77-8f50-d6d3a06f29dc
ShopeePay,a2b73a4f-4d2f-46d9-86fc-9c73224d7ca9,289.82,9,94.64,1,15,4c6657b7-4bd7-4e77-8f50-d6d3a06f29dc
GoPayz,2373dd08-66ee-4414-a91c-1072ac3b3ac6,104.73,10,10.99,5,14,4c6657b7-4bd7-4e77-8f50-d6d3a06f29dc
Boost,443991e2-bca5-492f-9425-8b2dc8fb5a1a,402.62,24,72.99,5,14,4c6657b7-4bd7-4e77-8f50-d6d3a06f29dc
GoPayz,767cc119-758f-4532-bb68-c1d1436a5011,121.46,14,34.64,3,14,9f07fd49-6c4d-4e9a-bf5e-1e32d7ca4161
GrabPay,68cce7a5-0dca-4a6f-8e1a-bde7221a49e5,167.48,26,91.0,6,3,9f07fd49-6c4d-4e9a-bf5e-1e32d7ca4161
Boost,3667c4d2-07a0-4335-81e9-794df4ab9119,463.61,16,75.87,7,3,9f07fd49-6c4d-4e9a-bf5e-1e32d7ca4161
MAE,88bf7015-7841-45fc-8b1c-9968440581ff,316.35,23,34.31,6,15,9f07fd49-6c4d-4e9a-bf5e-1e32d7ca4161
