provider,plan_details,user_id,payment_history
Maxis,RM68 Monthly Plan,abacd1bb-982a-48af-8e5b-248048dc3711,"[{""month"": ""2024-11"", ""amount"": 453.48, ""status"": ""Paid""}, {""month"": ""2024-10"", ""amount"": 459.0, ""status"": ""Paid""}, {""month"": ""2024-09"", ""amount"": 148.03, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 107.21, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 177.67, ""status"": ""Paid""}, {""month"": ""2024-07"", ""amount"": 458.33, ""status"": ""Paid""}]"
Maxis,RM111 Monthly Plan,6e59eef3-2f8b-412c-81c6-a7e70b359143,"[{""month"": ""2024-11"", ""amount"": 374.29, ""status"": ""Paid""}, {""month"": ""2024-10"", ""amount"": 297.73, ""status"": ""Paid""}, {""month"": ""2024-09"", ""amount"": 214.13, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 313.13, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 422.41, ""status"": ""Paid""}, {""month"": ""2024-07"", ""amount"": 304.11, ""status"": ""Paid""}]"
Digi,RM126 Monthly Plan,48a70efb-afc7-4550-a788-ad8aced83874,"[{""month"": ""2024-11"", ""amount"": 340.67, ""status"": ""Paid""}, {""month"": ""2024-10"", ""amount"": 306.21, ""status"": ""Pending""}, {""month"": ""2024-09"", ""amount"": 385.1, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 288.77, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 412.25, ""status"": ""Paid""}, {""month"": ""2024-07"", ""amount"": 229.82, ""status"": ""Paid""}]"
Digi,RM105 Monthly Plan,5689cfd3-ec6a-42db-bfab-9ea119d6fab4,"[{""month"": ""2024-11"", ""amount"": 51.42, ""status"": ""Paid""}, {""month"": ""2024-10"", ""amount"": 499.25, ""status"": ""Paid""}, {""month"": ""2024-09"", ""amount"": 138.48, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 157.5, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 383.29, ""status"": ""Paid""}, {""month"": ""2024-07"", ""amount"": 154.37, ""status"": ""Paid""}]"
Maxis,RM83 Monthly Plan,4c6657b7-4bd7-4e77-8f50-d6d3a06f29dc,"[{""month"": ""2024-11"", ""amount"": 345.06, ""status"": ""Paid""}, {""month"": ""2024-10"", ""amount"": 127.28, ""status"": ""Paid""}, {""month"": ""2024-09"", ""amount"": 75.12, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 262.13, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 150.48, ""status"": ""Paid""}, {""month"": ""2024-07"", ""amount"": 410.54, ""status"": ""Paid""}]"
Digi,RM95 Monthly Plan,9f07fd49-6c4d-4e9a-bf5e-1e32d7ca4161,"[{""month"": ""2024-11"", ""amount"": 78.88, ""status"": ""Paid""}, {""month"": ""2024-10"", ""amount"": 179.65, ""status"": ""Paid""}, {""month"": ""2024-09"", ""amount"": 177.04, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 86.96, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 475.69, ""status"": ""Paid""}, {""month"": ""2024-07"", ""amount"": 421.29, ""status"": ""Paid""}]"
Celcom,RM129 Monthly Plan,cbc5ed05-49b6-494c-b155-a5ad0e373ca4,"[{""month"": ""2024-11"", ""amount"": 442.39, ""status"": ""Paid""}, {""month"": ""2024-10"", ""amount"": 110.23, ""status"": ""Paid""}, {""month"": ""2024-09"", ""amount"": 131.16, ""status"": ""Pending""}, {""month"": ""2024-08"", ""amount"": 469.3, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 352.14, ""status"": ""Paid""}, {""month"": ""2024-07"", ""amount"": 397.16, ""status"": ""Paid""}]"
UMobile,RM78 Monthly Plan,02b5475a-f1c0-4d22-9029-7361e72ff563,"[{""month"": ""2024-11"", ""amount"": 321.93, ""status"": ""Paid""}, {""month"": ""2024-10"", ""amount"": 138.87, ""status"": ""Paid""}, {""month"": ""2024-09"", ""amount"": 305.0, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 376.95, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 122.96, ""status"": ""Paid""}, {""month"": ""2024-07"", ""amount"": 366.19, ""status"": ""Paid""}]"
Celcom,RM41 Monthly Plan,9f947189-787b-4076-a02f-1e8580cbc9eb,"[{""month"": ""2024-11"", ""amount"": 226.95, ""status"": ""Paid""}, {""month"": ""2024-10"", ""amount"": 350.12, ""status"": ""Paid""}, {""month"": ""2024-09"", ""amount"": 441.85, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 109.31, ""status"": ""Pending""}, {""month"": ""2024-08"", ""amount"": 84.43, ""status"": ""Late""}, {""month"": ""2024-07"", ""amount"": 265.75, ""status"": ""Paid""}]"
UMobile,RM146 Monthly Plan,7c7104a8-4a76-4bb7-9fa9-4e832458a4b5,"[{""month"": ""2024-11"", ""amount"": 99.06, ""status"": ""Paid""}, {""month"": ""2024-10"", ""amount"": 467.29, ""status"": ""Paid""}, {""month"": ""2024-09"", ""amount"": 455.19, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 417.56, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 252.77, ""status"": ""Paid""}, {""month"": ""2024-07"", ""amount"": 455.99, ""status"": ""Paid""}]"
Celcom,RM148 Monthly Plan,1b9c35ae-91e1-4488-b849-c3350010eb35,"[{""month"": ""2024-11"", ""amount"": 475.41, ""status"": ""Paid""}, {""month"": ""2024-10"", ""amount"": 486.08, ""status"": ""Paid""}, {""month"": ""2024-09"", ""amount"": 399.99, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 205.89, ""status"": ""Late""}, {""month"": ""2024-08"", ""amount"": 419.59, ""status"": ""Paid""}, {""month"": ""2024-07"", ""amount"": 241.64, ""status"": ""Paid""}]"
UMobile,RM32 Monthly Plan,fc321b67-d4d4-407a-a3c0-314f7c19c74f,"[{""month"": ""2024-11"", ""amount"": 402.76, ""status"": ""Paid""}, {""month"": ""2024-10"", ""amount"": 416.94, ""status"": ""Paid""}, {""month"": ""2024-09"", ""amount"": 456.06, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 472.7, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 115.14, ""status"": ""Pending""}, {""month"": ""2024-07"", ""amount"": 286.31, ""status"": ""Paid""}]"
Maxis,RM81 Monthly Plan,37772836-3143-4eb7-8148-8c75006b293a,"[{""month"": ""2024-11"", ""amount"": 341.12, ""status"": ""Late""}, {""month"": ""2024-10"", ""amount"": 161.58, ""status"": ""Paid""}, {""month"": ""2024-09"", ""amount"": 82.97, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 312.4, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 72.57, ""status"": ""Paid""}, {""month"": ""2024-07"", ""amount"": 162.52, ""status"": ""Paid""}]"
Digi,RM122 Monthly Plan,2ef6ffd6-f9a3-4b3c-b58b-fe840fc0254a,"[{""month"": ""2024-11"", ""amount"": 67.59, ""status"": ""Paid""}, {""month"": ""2024-10"", ""amount"": 272.9, ""status"": ""Paid""}, {""month"": ""2024-09"", ""amount"": 76.0, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 107.07, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 288.75, ""status"": ""Paid""}, {""month"": ""2024-07"", ""amount"": 57.54, ""status"": ""Paid""}]"
Celcom,RM127 Monthly Plan,50fe6fe4-dd5e-4c43-adaa-2aebb1b5f12c,"[{""month"": ""2024-11"", ""amount"": 138.6, ""status"": ""Paid""}, {""month"": ""2024-10"", ""amount"": 451.1, ""status"": ""Paid""}, {""month"": ""2024-09"", ""amount"": 329.69, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 497.33, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 192.77, ""status"": ""Paid""}, {""month"": ""2024-07"", ""amount"": 148.77, ""status"": ""Paid""}]"
Celcom,RM103 Monthly Plan,c7e7d387-6503-410a-ad22-6caea1e575ec,"[{""month"": ""2024-11"", ""amount"": 473.35, ""status"": ""Paid""}, {""month"": ""2024-10"", ""amount"": 185.47, ""status"": ""Paid""}, {""month"": ""2024-09"", ""amount"": 391.9, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 51.55, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 199.17, ""status"": ""Late""}, {""month"": ""2024-07"", ""amount"": 241.23, ""status"": ""Pending""}]"
Digi,RM69 Monthly Plan,5b29a7ab-83cc-4e1e-ab1e-620f8d55ce74,"[{""month"": ""2024-11"", ""amount"": 352.01, ""status"": ""Paid""}, {""month"": ""2024-10"", ""amount"": 162.13, ""status"": ""Paid""}, {""month"": ""2024-09"", ""amount"": 259.98, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 366.06, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 50.99, ""status"": ""Paid""}, {""month"": ""2024-07"", ""amount"": 281.75, ""status"": ""Paid""}]"
Maxis,RM84 Monthly Plan,b9a7f478-471f-42e0-b50e-7595bd82a0e2,"[{""month"": ""2024-11"", ""amount"": 269.25, ""status"": ""Paid""}, {""month"": ""2024-10"", ""amount"": 296.07, ""status"": ""Paid""}, {""month"": ""2024-09"", ""amount"": 368.04, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 376.12, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 430.46, ""status"": ""Paid""}, {""month"": ""2024-07"", ""amount"": 493.34, ""status"": ""Paid""}]"
Celcom,RM120 Monthly Plan,63c51978-7f82-464f-8fac-82dda3063c62,"[{""month"": ""2024-11"", ""amount"": 171.47, ""status"": ""Paid""}, {""month"": ""2024-10"", ""amount"": 302.76, ""status"": ""Paid""}, {""month"": ""2024-09"", ""amount"": 395.36, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 183.54, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 416.73, ""status"": ""Paid""}, {""month"": ""2024-07"", ""amount"": 359.94, ""status"": ""Paid""}]"
